start;end;duration;phases;nphases;jobs;njobs;days;ndays
220152308402;220152707824;399422;2;1;11;1;3;1
220152707824;220153139869;432045;-1;0;-1;0;-1;0
220153139869;220165067403;11927534;7;1;11;1;3;1
220165067403;223076378280;2911310877;-1;0;-1;0;-1;0
223076378280;223076379378;1098;4;1;11;1;3;1
223076379378;223076382203;2825;-1;0;-1;0;-1;0
223076382203;223076385509;3306;1;1;11;1;3;1
223076385509;223076641119;255610;-1;0;-1;0;-1;0
223076641119;223100614723;23973604;8;1;11;1;3;1
...
31657172365228;31657172368625;3397;1,9;2;85418;1;348;1
31657172368625;31657172369711;1086;1,9;2;85418;1;348;1
31657172369711;31657172372598;2887;1,9;2;85418;1;348;1
31657172372598;31657172375748;3150;1,9;2;85418;1;348;1
31657172375748;31657172377117;1369;1,9;2;85418;1;348;1
31657172377117;31657172378460;1343;1,9;2;85418;1;348;1
31657172378460;31657172381786;3326;1,9;2;85418;1;348;1
31657172381786;31657172383515;1729;1,9;2;85418;1;348;1
31657172383515;31657172412843;29328;1,9;2;85418;1;348;1
31657172412843;31657172414494;1651;1,9;2;85418;1;348;1
31657172414494;31657172418622;4128;1,9;2;85418;1;348;1
31657172418622;31657172420143;1521;1,9;2;85418;1;348;1
31657172420143;31657172421968;1825;1,9;2;85418;1;348;1
31657172421968;31657172423996;2028;1,9;2;85418;1;348;1
31657172423996;31657172914463;490467;1,9;2;85418;1;348;1
31657172914463;31657172945324;30861;1;1;85418;1;348;1
31657172945324;31657173022947;77623;-1;0;-1;0;-1;0
31657173022947;31657173023356;409;4;1;85418;1;348;1
